Type,Brand,Product,imgURL,THC,CBD,Effects,Description,ProductUrl
Hybrid,BHANG,THC Dark Chocolate Bar | 4x2.5mg,https://images.dutchie.com/ea3b8ae342744dbfeebf65475b2fbe06?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Bhang® Dark Chocolate starts with sustainably-sourced and fair-trade cacao beans and is Powered by Indiva. Their bars combine rich 73.8% cocoa and 10 mg of THC, and are scored into four pieces, each containing 2.5 mg of THC.,,Produced in Indiva’s state-of-the-art facility based in London, Ontario, Bhang® Dark Chocolate offers a cannabis-free flavour that offers hints of sweet, spice and malt in their dark chocolate.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/thc-dark-chocolate-bar-4x2-5mg
Hybrid,BHANG,THC Milk Chocolate Bar | 4x2.5mg,https://images.dutchie.com/c1913b1df9ff23a60fa3232bd4eda0b1?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Bhang® Milk Chocolate starts with sustainably-sourced and fair-trade cacao and is Powered by Indiva. Their bars combine rich 48% cocoa and 10 mg of THC, and are scored into four pieces, each containing 2.5 mg of THC. Produced in Indiva's state-of-the-art facility based in London, Ontario, Bhang® Milk Chocolate offers a cannabis-free flavour. Store in a cool, dry place.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/thc-milk-chocolate-bar-4x2-5mg
Hybrid,CHOWIE WOWIE,THC Solid Milk Chocolate | 2x5mg,https://images.dutchie.com/658385379a6b79773414c5aeb84d6e9d?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Smoooooooth like butttaaahhhh. Every Chowie Wowie THC Milk Chocolate package contains one piece of milk chocolate with 10 mg of THC that's breakable into two portions. Start with 1 square then wait to feel the effects. While you wait you could line dance, paint a still life of spaghetti, listen to an album at 1.5x speed...,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/thc-solid-milk-chocolate-2x5mg
Hybrid,WANA,Watermelon Sour Soft Chews | 2x5mg,https://images.dutchie.com/f666f3cbe1eb1759044b1066e7ab63a7?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Succulently sweet notes paired with an irresistibly refreshing profile is what drives the flavour of these distinct Watermelon Sour Soft Chews. Handcrafted with all-natural ingredients, the soft chews are infused with 10 mg of THC and hybrid terpene-enhanced distillate.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/watermelon-sour-soft-chews-2x5mg
Hybrid,CHOWIE WOWIE,Watermelon THC Soft Chews | 4x2.5mg,https://images.dutchie.com/cb4c29b8b935b700bf2d795dbdbec477?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Oh so subtle and not too sweet, in true watermelon style. 4 soft chews per pack, each Chowie Wowie Watermelon Soft Chew contains 2.5 mg of THC, perfect for dosing and sharing. Start with 1 soft chew then wait to feel the effects.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/watermelon-thc-soft-chews-4x2-5mg
Hybrid,VERSE ORIGINALS,Baked Apple Soft Chews - 5x2mg,https://images.dutchie.com/c53b17db6ba2f18ab589c77ce8038443?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Meet Baked Apple by Verse Soft Chews – our best-in-class formulations, innovation and value. The Baked Apple pack contains 5 chews infused with 2 mg of THC per chew and is full of apple flavour to delight the taste buds. Whether you want to take your soft chews on the go or at home, Verse Soft Chews are held in a resealable pouch to ensure each soft chew is fresh every time. Remember to start low and go slow. Verse: Write the future,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/baked-apple-soft-chews-5x2mg
Hybrid,BLISSED,Blackberry Acai 1:1 Soft Chews - 2x5mg,https://images.dutchie.com/e5df112674e6e8bb8a7a448d8531c745?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,CBD: 10 mg,"Calm,Energetic,Happy,Relaxed","Blissed Bask Blackberry Acai soft chews are 1:1 ratio chews that offer a fruity burst of flavour. Blissed soft chews are made from high quality, vegan ingredients and contain real fruit and acai puree. A smoke-free way to consume cannabis, each piece is infused with cannabis extract to remove any noticeable cannabis taste and smell. Blissed soft chews are gluten-free with no artificial colours. Each sharable package contains 2 soft chews with 5mg of THC and 5mg of CBD each. Developed in British Columbia, these soft chews have gone through rigorous testing to ensure a safe, high quality, and consistent experience.,All Blissed products have been rigorously tested, extracted, purified, and formulated for precise dosing.,Size:  2 pieces,CBD:  10mg/ml,THC: 10mg/ml,Blissed donates 10% of profits back into the community.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/blackberry-acai-1-1-soft-chews-2x5mg
Indica,SAN RAFAEL '71,Blaspberry Soft Chews | 4x2.5mg,https://images.dutchie.com/3a14154d6913be95a9c348002345d939?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Happy,Relaxed,Sleepy","The existence of the fabled blue raspberry has captivated minds for centuries. Or at least it will captivate yours when you enjoy the Blaspberry Indica Gummy. Each gummy is chock-full of high-quality cannabinoid extract – science talk for saying this gummy is filled with the full cannabis experience. All of our gummies are dosed evenly with 2.5mg of THC with four gummies per pack, meaning you’re in complete control of your high and each drop of berry bliss has the same strength as the one before it. The tangy berry flavour is bursting in each gummy and is meant to give you a lasting, fruit flavour fuelled high.  ,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/blaspberry-soft-chews-4x2-5mg
Hybrid,COLLECTIVE PROJECT,Blood Orange Yuzu & Vanilla Sparkling Juice,https://images.dutchie.com/24383ab210a9aa1d1fe4c4a03724fb16?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,CBD: 10 mg,"Calm,Energetic,Happy,Relaxed","Their take on the classic treat, they added the bright flavors of Yuzu and Blood Orange together with sweet vanilla for a truly remarkable beverage. We then added cannabis citrus terpenes to round out the flavorful profile.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/blood-orange-yuzu-vanilla-sparkling-juice
Hybrid,QUATREAU,Blueberry Acai 1:1 Sparkling Water,https://images.dutchie.com/0e0d68414fca114571e4d3e5d0a9315e?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 2 mg,CBD: 2 mg,"Calm,Energetic,Happy,Relaxed","Quatreau Blueberry + Açai is a deliciously refreshing and naturally flavoured cannabis-infused sparkling water beverage. With 2mg of CBD and 2mg of THC, it’s a satisfying and delicious choice. It’s the perfect casual drink for any relaxed occasion. Because Quatreau believes in simplifying choices, so you can focus on the things that really matter.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/blueberry-acai-1-1-sparkling-water
Indica,WANA,Blueberry Sour Soft Chews | 2x5mg,https://images.dutchie.com/1da175eb07b758d25822427c9a41c230?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Happy,Relaxed,Sleepy","A mellow tartness blends with a touch of sweetness to create these Wana Blueberry Sour Soft Chews. Handcrafted with all-natural ingredients, the soft chews are infused with indica terpene-enhanced distillate and includes 10 mg of THC.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/blueberry-sour-soft-chews-2x5mg
